"Judet","Localitate","Agentie","Km","Cod rutare","ID localitate FAN","Litera cartare"
"Alba","Abrud","Campeni","0","6641","10001","F"
"Alba","Abrud-Sat","Campeni","0","6641","21913","F"
"Alba","Achimetesti","Campeni","28","6641","21914","F"
"Alba","Acmariu","Orastie","20","6500","22214","F"
"Alba","Aiud","Alba Iulia","0","0100","10002","F"
"Alba","Aiudul de Sus","Alba Iulia","0","0100","21915","F"
"Alba","Alba Iulia","Alba Iulia","0","0100","1","F"
"Alba","Albac","Campeni","0","6641","10003","F"
"Alba","Alecus","Tarnaveni","55","2770","26652","F"
"Alba","Almasu de Mijloc","Alba Iulia","60","0100","21916","F"
"Alba","Almasu Mare","Alba Iulia","60","0100","10004","F"
"Alba","Ampoita","Alba Iulia","0","0100","10005","F"
"Alba","Anghelesti","Campeni","21","6641","27559","F"
"Alba","Arieseni","Campeni","43","6641","10006","F"
"Alba","Aronesti","Campeni","0","6641","27560","F"
"Alba","Arti","Sebes","35","0130","27561","F"
"Alba","Asinip","Alba Iulia","45","0100","10007","F"
"Alba","Avram Iancu","Campeni","31","6641","10008","F"
"Alba","Avramesti (Arieseni)","Campeni","43","6641","21917","F"
"Alba","Avramesti (Avram Iancu)","Campeni","29","6641","21918","F"
"Alba","Baba","Campeni","26","6641","27562","F"
"Alba","Bacainti","Orastie","70","6500","22215","F"
"Alba","Badai","Campeni","43","6641","21919","F"
"Alba","Bagau","Alba Iulia","45","0100","10009","F"
"Alba","Bai","Campeni","21","6641","27563","F"
"Alba","Baia de Aries","Campeni","25","6641","10010","F"
"Alba","Balcaciu","Tarnaveni","30","2770","26653","F"
"Alba","Balesti","Campeni","0","6641","21920","F"
"Alba","Balesti-Catun","Campeni","0","6641","21921","F"
"Alba","Balmosesti","Campeni","0","6641","27564","F"
"Alba","BALOMIRU DE CAMP","Orastie","20","6500","18493","F"
"Alba","Barabant","Alba Iulia","0","0100","21922","F"
"Alba","Barasti","Campeni","24","6641","21923","F"
"Alba","Barbesti","Campeni","49","6641","27565","F"
"Alba","Bardesti","Campeni","25","6641","27566","F"
"Alba","Barlesti (Bistra)","Campeni","0","6641","21924","F"
"Alba","Barlesti (Mogos)","Campeni","41","6641","21925","F"
"Alba","Barlesti (Scarisoara)","Campeni","38","6641","21926","F"
"Alba","Barlesti-Catun","Campeni","51","6641","27567","F"
"Alba","Barsana","Sebes","34","0130","27568","F"
"Alba","Barzan","Campeni","21","6641","27569","F"
"Alba","Barzogani","Campeni","54","6641","21927","F"
"Alba","Bazesti","Campeni","0","6641","27570","F"
"Alba","Beldiu","Alba Iulia","0","0100","10011","F"
"Alba","Benic","Alba Iulia","30","0100","10012","F"
"Alba","Berghin","Alba Iulia","0","0100","10013","F"
"Alba","Beta","Alba Iulia","50","0100","10014","F"
"Alba","Bidigesti","Campeni","0","6641","27571","F"
"Alba","Biharia","Campeni","39","6641","21928","F"
"Alba","Biia","Tarnaveni","35","2770","26654","F"
"Alba","Bilanesti","Campeni","0","6641","21929","F"
"Alba","Bisericani","Campeni","27","6641","27572","F"
"Alba","Bistra","Campeni","0","6641","10015","F"
"Alba","Blaj","Alba Iulia","0","0100","10016","F"
"Alba","Blandiana","Orastie","20","6500","18494","F"
"Alba","Blidesti","Campeni","0","6641","21930","F"
"Alba","Bobaresti (Sohodol)","Campeni","0","6641","21931","F"
"Alba","Bobaresti (Vidra)","Campeni","0","6641","21932","F"
"Alba","Bocesti","Campeni","50","6641","27573","F"
"Alba","Bocsitura","Orastie","44","6500","27574","F"
"Alba","Bodesti","Campeni","0","6641","10017","F"
"Alba","Bodresti","Campeni","56","6641","27575","F"
"Alba","Bogdanesti (Mogos)","Campeni","51","6641","21933","F"
"Alba","Bogdanesti (Vidra)","Campeni","51","6641","21934","F"
"Alba","Boglesti","Campeni","0","6641","27576","F"
"Alba","Boldesti","Campeni","23","6641","27577","F"
"Alba","Bolovanesti","Sebes","37","0130","27578","F"
"Alba","Boncesti","Campeni","0","6641","10019","F"
"Alba","Bordestii Poieni","Campeni","0","6641","27579","F"
"Alba","Borlesti","Campeni","0","6641","27580","F"
"Alba","Botani","Alba Iulia","44","0100","27581","F"
"Alba","Botesti (Campeni)","Campeni","0","6641","21935","F"
"Alba","Botesti (Scarisoara)","Campeni","29","6641","21936","F"
"Alba","Botesti (Zlatna)","Alba Iulia","40","0100","21937","F"
"Alba","Boz","Sebes","30","0130","18495","F"
"Alba","Bradeana","Campeni","0","6641","10021","F"
"Alba","Bradesti","Alba Iulia","60","0100","21938","F"
"Alba","Bradet","Alba Iulia","54","0100","27582","F"
"Alba","Brazesti","Campeni","30","6641","10022","F"
"Alba","Bubesti","Campeni","46","6641","19205","F"
"Alba","Bucerdea granoasa","Alba Iulia","0","0100","10023","F"
"Alba","Bucerdea Vinoasa","Alba Iulia","0","0100","21939","F"
"Alba","Bucium","Campeni","27","6641","10024","F"
"Alba","Bucium-Sat","Campeni","21","6641","21940","F"
"Alba","Bucuru","Orastie","42","6500","27583","F"
"Alba","Budaiesti","Campeni","23","6641","21941","F"
"Alba","Budeni","Alba Iulia","40","0100","21942","F"
"Alba","Bulbuc","Sebes","42","0130","27584","F"
"Alba","Buninginea","Campeni","20","6641","10026","F"
"Alba","Bunta","Alba Iulia","66","0100","27585","F"
"Alba","Burzesti","Campeni","0","6641","21943","F"
"Alba","Burzonesti","Campeni","0","6641","10027","F"
"Alba","Butesti (Horea)","Campeni","29","6641","21944","F"
"Alba","Butesti (Mogos)","Campeni","40","6641","21945","F"
"Alba","Calene","Orastie","40","6500","27586","F"
"Alba","Calnic","Sebes","0","0130","18496","F"
"Alba","Calugaresti","Campeni","30","6641","21946","F"
"Alba","Campeni","Campeni","0","6641","285","F"
"Alba","Campu Goblii","Sebes","13","0130","27587","F"
"Alba","Candesti","Campeni","41","6641","21947","F"
"Alba","CAPALNA","Sebes","20","0130","18497","F"
"Alba","Capalna de Jos","Tarnaveni","30","2770","22216","F"
"Alba","Captalan","Campia Turzii","50","1380","27095","F"
"Alba","Capu Dealului","Tarnaveni","64","2770","27588","F"
"Alba","Capud","Alba Iulia","55","0100","10029","F"
"Alba","Carasti","Campeni","25","6641","21948","F"
"Alba","Carpen","Sebes","23","0130","27589","F"
"Alba","Carpenii de Sus","Sebes","23","0130","27590","F"
"Alba","Carpinis (Garbova)","Sebes","25","0130","22217","F"
"Alba","Carpinis (Rosia Montana)","Campeni","0","6641","21949","F"
"Alba","Cartulesti","Campeni","29","6641","27591","F"
"Alba","Casa de Piatra","Campeni","46","6641","27592","F"
"Alba","Casoaia","Campeni","31","6641","21950","F"
"Alba","Cenade","Alba Iulia","70","0100","10031","F"
"Alba","Cerbu","Campeni","20","6641","21951","F"
"Alba","Cergau","Alba Iulia","60","0100","10032","F"
"Alba","Cergau Mare","Alba Iulia","60","0100","21952","F"
"Alba","Cergau Mic","Alba Iulia","60","0100","21953","F"
"Alba","Certege","Campeni","0","6641","10033","F"
"Alba","Ceru-Bacainti","Orastie","22","6500","22218","F"
"Alba","Cetatea de Balta","Tarnaveni","30","2770","26602","F"
"Alba","Cetea","Alba Iulia","30","0100","10034","F"
"Alba","Cheia","Alba Iulia","47","0100","27593","F"
"Alba","Cheile Cibului","Alba Iulia","60","0100","21954","F"
"Alba","Cheleteni","Campeni","0","6641","27594","F"
"Alba","Cib","Alba Iulia","60","0100","10035","F"
"Alba","Cicard","Alba Iulia","52","0100","27595","F"
"Alba","Cicau","Alba Iulia","40","0100","10036","F"
"Alba","Cioara de Sus","Campeni","27","6641","10038","F"
"Alba","Ciocasu","Sebes","17","0130","27596","F"
"Alba","Cionesti","Campeni","0","6641","27597","F"
"Alba","Cistei","Alba Iulia","0","0100","10039","F"
"Alba","Cisteiu de Mures","Campia Turzii","40","1380","22184","F"
"Alba","Ciuculesti","Campeni","28","6641","27598","F"
"Alba","Ciugud","Alba Iulia","0","0100","10040","F"
"Alba","Ciugudu de Jos","Campia Turzii","60","1380","22185","F"
"Alba","Ciugudu de Sus","Campia Turzii","60","1380","22186","F"
"Alba","Ciuguzel","Alba Iulia","55","0100","10041","F"
"Alba","Ciuldesti","Campeni","0","6641","10042","F"
"Alba","Ciumbrud","Alba Iulia","0","0100","10043","F"
"Alba","Ciuruleasa","Campeni","0","6641","10044","F"
"Alba","Coasta Hentii","Campeni","0","6641","21955","F"
"Alba","Coasta Vascului","Campeni","21","6641","27599","F"
"Alba","Cobles","Campeni","45","6641","27600","F"
"Alba","Cocesti","Campeni","27","6641","21956","F"
"Alba","Cocosesti","Campeni","26","6641","21957","F"
"Alba","Cojocani","Campeni","49","6641","21958","F"
"Alba","Coleseni","Campeni","22","6641","10045","F"
"Alba","Colibi","Sebes","31","0130","27601","F"
"Alba","Coltesti","Alba Iulia","62","0100","10046","F"
"Alba","Copand","Campia Turzii","0","1380","26662","F"
"Alba","Corna","Campeni","20","6641","10047","F"
"Alba","Cornu","Alba Iulia","39","0100","27602","F"
"Alba","Coroiesti","Campeni","24","6641","10048","F"
"Alba","Cortesti","Campia Turzii","67","1380","27603","F"
"Alba","Coslariu","Alba Iulia","0","0100","10049","F"
"Alba","Coslariu Nou","Alba Iulia","0","0100","21959","F"
"Alba","Costesti (Albac)","Campeni","36","6641","21960","F"
"Alba","Costesti (Poiana Vadului)","Campeni","38","6641","21961","F"
"Alba","Cotorasti","Alba Iulia","52","0100","27604","F"
"Alba","Craciunelu de Jos","Alba Iulia","0","0100","21962","F"
"Alba","Craciunelu de Sus","Tarnaveni","26","2770","27605","F"
"Alba","Craiva","Alba Iulia","30","0100","10051","F"
"Alba","Cretesti","Campeni","0","6641","10052","F"
"Alba","Cricau","Alba Iulia","0","0100","10053","F"
"Alba","Criseni","Alba Iulia","0","0100","27606","F"
"Alba","Cristesti","Campeni","43","6641","27607","F"
"Alba","Cucuta","Sebes","35","0130","27608","F"
"Alba","Cugir","Orastie","0","6500","18499","F"
"Alba","Culdesti","Campeni","0","6641","21963","F"
"Alba","Cunta","Sebes","20","0130","18500","F"
"Alba","Curaturi","Campeni","0","6641","21964","F"
"Alba","Curmatura","Campeni","23","6641","26395","F"
"Alba","Curpeni","Sebes","36","0130","27609","F"
"Alba","Cut","Sebes","0","0130","18501","F"
"Alba","Daia Romana","Sebes","15","0130","18502","F"
"Alba","Dambureni","Campeni","0","6641","21965","F"
"Alba","Dandut","Campeni","0","6641","27610","F"
"Alba","Darlesti","Campeni","32","6641","27611","F"
"Alba","Daroaia","Campeni","0","6641","10054","F"
"Alba","Deal","Sebes","23","0130","18503","F"
"Alba","Dealu Bajului","Campeni","40","6641","21966","F"
"Alba","Dealu Bistrii","Campeni","0","6641","21967","F"
"Alba","Dealu Capsei","Campeni","0","6641","27612","F"
"Alba","Dealu Caselor","Alba Iulia","80","0100","21968","F"
"Alba","Dealu Crisului","Campeni","26","6641","27613","F"
"Alba","Dealu Dostatului","Sebes","28","0130","27614","F"
"Alba","Dealu Ferului","Sebes","14","0130","27615","F"
"Alba","Dealu Frumos (Garda de Sus)","Campeni","51","6641","21969","F"
"Alba","Dealu Frumos (Vadu Motilor)","Campeni","0","6641","21970","F"
"Alba","Dealu Geoagiului","Alba Iulia","40","0100","21971","F"
"Alba","Dealu Goiesti","Campeni","0","6641","21972","F"
"Alba","Dealu Lamasoi","Campeni","27","6641","27616","F"
"Alba","Dealu Muntelui","Campeni","0","6641","26396","F"
"Alba","Dealu Ordancusii","Campeni","45","6641","26805","F"
"Alba","Dealu Roatei","Alba Iulia","40","0100","21973","F"
"Alba","Decea","Alba Iulia","45","0100","10055","F"
"Alba","Deleni-Obarsie","Sebes","48","0130","27617","F"
"Alba","Deoncesti","Campeni","0","6641","21974","F"
"Alba","Deve","Campeni","22","6641","21975","F"
"Alba","Dilimani","Campeni","0","6641","21976","F"
"Alba","Dobra","Sebes","35","0130","18504","F"
"Alba","Dobresti","Campeni","34","6641","27618","F"
"Alba","Dobrot","Alba Iulia","52","0100","27619","F"
"Alba","Dogaresti","Campeni","21","6641","21977","F"
"Alba","Dolesti","Campeni","23","6641","21978","F"
"Alba","Doptau","Tarnaveni","40","2770","26667","F"
"Alba","Dos","Campeni","0","6641","21979","F"
"Alba","Dostat","Sebes","35","0130","22219","F"
"Alba","Dosu Luncii","Campeni","21","6641","21980","F"
"Alba","Dosu Vasesti","Campeni","0","6641","21981","F"
"Alba","Dragoiesti-Lunca","Campeni","0","6641","21982","F"
"Alba","Drambar","Alba Iulia","0","0100","10056","F"
"Alba","Drasov","Sebes","23","0130","18506","F"
"Alba","Dric","Campeni","0","6641","27620","F"
"Alba","Duduieni","Campeni","25","6641","21983","F"
"Alba","Dumacesti","Campeni","30","6641","21984","F"
"Alba","Dumbrava (Sasciori)","Sebes","15","0130","22220","F"
"Alba","Dumbrava (Unirea)","Campia Turzii","25","1380","22187","F"
"Alba","Dumbrava (Zlatna)","Alba Iulia","40","0100","21985","F"
"Alba","Dumbravita","Sebes","37","0130","27621","F"
"Alba","Dumesti","Campia Turzii","62","1380","27622","F"
"Alba","Dumitra","Alba Iulia","0","0100","21986","F"
"Alba","Dupa Deal (Lupsa)","Campeni","0","6641","21987","F"
"Alba","Dupa Deal (Ponor)","Alba Iulia","74","0100","27623","F"
"Alba","Dupa Plese","Campeni","20","6641","21988","F"
"Alba","Durasti","Campeni","0","6641","10057","F"
"Alba","Faget","Alba Iulia","62","0100","26973","F"
"Alba","Fagetu de Jos","Campeni","20","6641","21989","F"
"Alba","Fagetu de Sus","Campeni","23","6641","26430","F"
"Alba","Fantanele","Sebes","40","0130","27624","F"
"Alba","Farau","Campia Turzii","45","1380","10058","F"
"Alba","Fata","Campeni","22","6641","21990","F"
"Alba","Fata Abrudului","Campeni","0","6641","10059","F"
"Alba","Fata Cristesei","Campeni","42","6641","21991","F"
"Alba","Fata Lapusului","Campeni","41","6641","21992","F"
"Alba","Fata Pietrii","Alba Iulia","37","0100","27625","F"
"Alba","Fata-Lazesti","Campeni","26","6641","21993","F"
"Alba","Feisa","Tarnaveni","30","2770","26655","F"
"Alba","Fenes","Alba Iulia","0","0100","10060","F"
"Alba","Feresti","Campeni","22","6641","27626","F"
"Alba","Fericet","Campeni","29","6641","27627","F"
"Alba","Feteni","Orastie","39","6500","27628","F"
"Alba","Ficaresti","Campeni","0","6641","21994","F"
"Alba","Flitesti","Sebes","48","0130","27629","F"
"Alba","Floresti (Bucium)","Campeni","26","6641","21995","F"
"Alba","Floresti (Campeni)","Campeni","0","6641","21996","F"
"Alba","Floresti (Ramet)","Alba Iulia","60","0100","21997","F"
"Alba","Floresti (Scarisoara)","Campeni","32","6641","21998","F"
"Alba","Furduiesti (Campeni)","Campeni","0","6641","21999","F"
"Alba","Furduiesti (Sohodol)","Campeni","0","6641","22000","F"
"Alba","Gabud","Campia Turzii","51","1380","27630","F"
"Alba","Galati","Alba Iulia","40","0100","22001","F"
"Alba","Galbena","Campeni","43","6641","22002","F"
